date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:21:14	49219/49219	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Apr%202024%2013:21:14%20GMT	https://hdtinchap.com/	C:/My%20Web%20Sites/hdtinchap/hdtinchap.com/index	(from )
20:21:14	24/24	---M--	200	added ('OK')	text/plain	etag:%2264b8126a-18%22	https://hdtinchap.com/robots.txt		(from )
20:21:14	1406/1406	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2264c53cc5-57e%22	http://hdtinchap.com/favicon.ico	C:/My%20Web%20Sites/hdtinchap/hdtinchap.com/favicon.ico	(from https://hdtinchap.com/)
20:21:14	194901/194901	---M-Z	200	added ('OK')	text/css	etag:W/%222f955-d5HdHzFzoNYsw5wh0q1x/I2tDnI%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/hdtinchap/cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/css/bootstrap.min.css	(from https://hdtinchap.com/)
20:21:15	21236/21236	---MCZ	200	added ('OK')	text/css	etag:W/%2265abe77a-52f4%22	https://hdtinchap.com/build/assets/styles-eeb7fb8f.css	C:/My%20Web%20Sites/hdtinchap/hdtinchap.com/build/assets/styles-eeb7fb8f.css	(from https://hdtinchap.com/)
20:21:15	7092/7092	---M--	200	added ('OK')	image/png	etag:%221bb4-611a793103814%22	https://acs.f10.vn/uploads/images/Logo_website_01(1).png	C:/My%20Web%20Sites/hdtinchap/acs.f10.vn/uploads/images/Logo_website_01(1).png	(from https://hdtinchap.com/)
20:21:15	15052/15052	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Apr%202024%2013:21:16%20GMT	https://hdtinchap.com/san-pham	C:/My%20Web%20Sites/hdtinchap/hdtinchap.com/san-pham	(from https://hdtinchap.com/)
20:21:15	15039/15039	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Apr%202024%2013:21:16%20GMT	https://hdtinchap.com/xe-may	C:/My%20Web%20Sites/hdtinchap/hdtinchap.com/xe-may	(from https://hdtinchap.com/)
20:21:16	15058/15058	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Apr%202024%2013:21:16%20GMT	https://hdtinchap.com/dien-may	C:/My%20Web%20Sites/hdtinchap/hdtinchap.com/dien-may	(from https://hdtinchap.com/)
20:21:16	15052/15052	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Apr%202024%2013:21:16%20GMT	https://hdtinchap.com/tien-mat	C:/My%20Web%20Sites/hdtinchap/hdtinchap.com/tien-mat	(from https://hdtinchap.com/)
20:21:16	15068/15068	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Apr%202024%2013:21:16%20GMT	https://hdtinchap.com/ve-may-bay	C:/My%20Web%20Sites/hdtinchap/hdtinchap.com/ve-may-bay	(from https://hdtinchap.com/)
20:21:16	15052/15052	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Apr%202024%2013:21:17%20GMT	https://hdtinchap.com/bao-hiem	C:/My%20Web%20Sites/hdtinchap/hdtinchap.com/bao-hiem	(from https://hdtinchap.com/)
20:21:17	15081/15081	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Apr%202024%2013:21:17%20GMT	https://hdtinchap.com/the-tin-dung	C:/My%20Web%20Sites/hdtinchap/hdtinchap.com/the-tin-dung	(from https://hdtinchap.com/)
20:21:17	15086/15086	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Apr%202024%2013:21:17%20GMT	https://hdtinchap.com/san-pham-khac	C:/My%20Web%20Sites/hdtinchap/hdtinchap.com/san-pham-khac	(from https://hdtinchap.com/)
20:21:17	27094/27094	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Apr%202024%2013:21:17%20GMT	https://hdtinchap.com/duyet-vay	C:/My%20Web%20Sites/hdtinchap/hdtinchap.com/duyet-vay	(from https://hdtinchap.com/)
20:21:17	23743/23743	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Apr%202024%2013:21:18%20GMT	https://hdtinchap.com/tin-tuc	C:/My%20Web%20Sites/hdtinchap/hdtinchap.com/tin-tuc	(from https://hdtinchap.com/)
20:21:17	407/407	---MC-	302	error ('Found')	text/html	date:Sat,%2027%20Apr%202024%2013:21:18%20GMT	https://hdtinchap.com/thong-bao	C:/My%20Web%20Sites/hdtinchap/hdtinchap.com/thong-bao	(from https://hdtinchap.com/)
20:21:18	366/366	---MC-	302	error ('Found')	text/html	date:Sat,%2027%20Apr%202024%2013:21:18%20GMT	http://hdtinchap.com/bien-dong-tai-khoan	C:/My%20Web%20Sites/hdtinchap/hdtinchap.com/bien-dong-tai-khoan.f.delayed	(from https://hdtinchap.com/)
20:21:18	18204/18204	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Apr%202024%2013:21:18%20GMT	http://hdtinchap.com/dang-nhap	C:/My%20Web%20Sites/hdtinchap/hdtinchap.com/dang-nhap	(from https://hdtinchap.com/)
20:21:18	89530/89530	---M--	200	added ('OK')	image/jpeg	etag:%2215dba-611a71ba3edf3%22	https://acs.f10.vn/uploads/images/7-min.jpg	C:/My%20Web%20Sites/hdtinchap/acs.f10.vn/uploads/images/7-min.jpg	(from https://hdtinchap.com/)
20:21:18	45795/45795	---M--	200	added ('OK')	image/jpeg	etag:%22b2e3-6146a95e5940a%22	https://acs.f10.vn/uploads/images/2-min.jpg	C:/My%20Web%20Sites/hdtinchap/acs.f10.vn/uploads/images/2-min.jpg	(from https://hdtinchap.com/)
20:21:19	118343/118343	---M--	200	added ('OK')	image/jpeg	etag:%221ce47-611a71c26519d%22	https://acs.f10.vn/uploads/images/8-min.jpg	C:/My%20Web%20Sites/hdtinchap/acs.f10.vn/uploads/images/8-min.jpg	(from https://hdtinchap.com/)
20:21:19	46518/46518	---M--	200	added ('OK')	image/jpeg	etag:%22b5b6-6146a91184972%22	https://acs.f10.vn/uploads/images/4-min.jpg	C:/My%20Web%20Sites/hdtinchap/acs.f10.vn/uploads/images/4-min.jpg	(from https://hdtinchap.com/)
20:21:19	102962/102962	---M--	200	added ('OK')	image/jpeg	etag:%2219232-611a71cb7d476%22	https://acs.f10.vn/uploads/images/9-min.jpg	C:/My%20Web%20Sites/hdtinchap/acs.f10.vn/uploads/images/9-min.jpg	(from https://hdtinchap.com/)
20:21:19	30592/30592	---M--	200	added ('OK')	image/jpeg	etag:%227780-6146b7923ba50%22	https://acs.f10.vn/uploads/images/11.jpg	C:/My%20Web%20Sites/hdtinchap/acs.f10.vn/uploads/images/11.jpg	(from https://hdtinchap.com/)
20:21:20	88158/88158	---M--	200	added ('OK')	image/jpeg	etag:%221585e-611a71f598d23%22	https://acs.f10.vn/uploads/images/13-min.jpg	C:/My%20Web%20Sites/hdtinchap/acs.f10.vn/uploads/images/13-min.jpg	(from https://hdtinchap.com/)
20:21:20	32095/32095	---M--	200	added ('OK')	image/jpeg	etag:%227d5f-6163b24c6db58%22	https://acs.f10.vn/uploads/images/3.jpg	C:/My%20Web%20Sites/hdtinchap/acs.f10.vn/uploads/images/3.jpg	(from https://hdtinchap.com/)
